NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1975,,,265,,Veterans benefits and services
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1975,,,3275,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Veterans' benefits and services,Exclusion of GI bill benefits,1975,,,255,,Commerce and housing
Commerce,International affairs,Exclusion of gross-up on dividends of LDC corporations,1975,,55,,,Commerce and housing credit
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1975,,,130,,Commerce and housing
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1975,,,1545,,Natural resources and environment
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1975,Exclusion of interest on State and local debt,2675,1130,,International affairs
Energy & Environment,Natural resources and environment,Exclusion of interest on State and local government pollution control bonds,1975,,75,35,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest on State and local industrial development bonds,1975,,120,55,,Income security
Veterans Benefits,Income security,Exclusion of military disability pensions,1975,,,70,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1975,Exclusion of other employee benefits: Premiums on accident and accidental death insurance,,50,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1975,,,740,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1975,,,105,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1975,,,170,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1975,,,200,,Community and regional development
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1975,Exclusion of social security benefits: Disability insurance benefits,,275,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1975,Exclusion of social security benefits: OASI benefits for aged,,2740,,Energy
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1975,Exclusion of social security benefits: Benefits for Dependents and Survivors,,450,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1975,,,50,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of unemployment insurance benefits,1975,,,2300,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1975,Exclusion of veterans disability compensation ,,540,,Income security
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1975,,,25,,Business investment
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1975,Exclusion of workmen's compensation benefits.........,,505,,Business investment
Housing & Community,Commerce and Housing,Exemption of credit union income,1975,,115,,,Interest
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1975,,135,475,,Commerce and housing
Housing & Community,Commerce and Housing,Expensing of construction period interest and taxes,1975,,985,525,,International affairs
Energy & Environment,Energy,Expensing of exploration and development costs,1975,,500,120,,Commerce and housing
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1975,Expensing of research and development expenditures,635,,,Commerce and transportation
Housing & Community,Community and regional development,Five-year amortization for housing rehabilitation,1975,Housing rehabilitation: 5-year amortization,40,65,,Income security
Energy & Environment,Natural resources and environment,Five-year amortization on pollution control facilities,1975,Pollution control: 5-year amortization,30,,,Commerce and housing
Commerce,Transportation,Five-year amortization on railroad rolling stock,1975,Railroad rolling stock: 5-year amortization,55,,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1975,,,5,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Investment credit,1975,,4860,950,,Health
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Maximum tax on personal service income,1975,Maximum tax on earned income,,160,,Agriculture
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1975,,,5225,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Self-Employed plans,1975,Net exclusion of pension contributions and earnings: Plans for self-employed and others,,390,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1975,,,670,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Retirement income credit and credit for the elderly,1975,Retirement income credit,,130,,Community and Regional Development
Commerce,International affairs,Special rate for Western Hemisphere trade corporations,1975,,50,,,Commerce and housing
Government,Commerce and Housing,Surtax exemption (through 1978),1975,Corporate surtax exemption,3345,,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Additional exemption for elderly,1976,Additional  exemption for over 65 ,,1145,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Additional exemption for the blind,1976,,,20,,
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1976,Capital gain: Individual (other than farming and timber),545,7320,,Income security
Commerce,Agriculture,Capital gains treatment of certain income,1976,,10,315,,Commerce and housing credit
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1976,,290,95,,Health
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1976,,15,40,,Commerce and housing credit
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1976,Deductibility of and credit for child and dependent care expenses,,290,,Commerce and housing credit
Commerce,General purpose fiscal assistance,Credit for corporations in US possessions,1976,,240,,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for employment of AFDC recipients and public assistance recipients under work incentive programs,1976,Credit for employing AFDC and public assistance recipients,10,,,Income security
Housing & Community,Commerce and Housing,Credit for purchase of new home,1976,,,650,,Income security
Government,General government,Credits and deductions for political contributions,1976,,,35,,Community and regional development
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1976,,,310,,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1976,Deductibility of contributions to educational institutions,190,510,,International affairs
Housing & Community,"Education, training, employment, and social services",Deductibility of charitable contributions (other than education),1976,,350,4360,,Income security
Commerce,Commerce and Housing,Deductibility of interest on consumer credit,1976,,,2105,,Income security
Medicare & Health,Health,Deductibility of medical expenses,1976,,,2315,,Commerce and housing
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1976,,,4870,,Income security
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1976,,,7255,,"General science, space, and technology"
Government,Transportation,Deductibility of nonbusiness State gasoline taxes,1976,,,710,,Business investment
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1976,Deductibility of property taxes on owneroccupied homes,,4030,,Natural resources and environment
Housing & Community,Commerce and Housing,Deferral of capital gains on home sales,1976,,,845,,Community and regional development
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1976,,1220,,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1976,Deferral of interest on savings bonds,,550,,Commerce and housing
Transportation,Transportation,Deferral of tax on shipping companies,1976,,110,,,Community and Regional Development
Housing & Community,Commerce and Housing,Depreciation on buildings (other than rental housing) in excess of straight line,1976,Depreciation on buildings in excess of straight line: Other,225,200,,Income security
Housing & Community,Commerce and Housing,Depreciation on rental housing in excess of straight line,1976,Depreciation on buildings in excess of straight line: Rental housing,100,405,,Income security
Commerce,Commerce and Housing,Dividend exclusion,1976,,,430,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1976,Earned income credit,,220,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1976,Financial institutions: excess bad debt reserves,485,,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Excess first-year depreciation,1976,,40,140,,"Education, training, employment, and social services"
Energy & Environment,Energy,Excess of percentage over cost depletion,1976,,1010,285,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Excess of percentage standard deduction over minimum standard deduction,1976,Excess of percentage standard deduction over low income allowance,,1140,,Health
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1976,,,1020,,Income security
Housing & Community,Income security,Exclusion of capital gains on home sales for persons age 65 and over,1976,Exclusion of capital gain on home sales if over 65,,40,,
Housing & Community,Commerce and Housing,Exclusion of certain income of cooperatives,1976,,410,-155,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion of contributions to prepaid legal services plans,1976,Employer contributions to prepaid legal expense plans,,,,Health
"Social Security, Unemployment & Labor",Income security,Exclusion of disability pay,1976,Exclusion of sick pay,,195,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1976,,,310,,Veterans benefits and services
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1976,,,4490,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of GI bill benefits,1976,,,305,,Commerce and housing
Commerce,International affairs,Exclusion of gross-up on dividends of LDC corporations,1976,,40,,,Commerce and housing credit
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1976,,,145,,Commerce and housing
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1976,,,1655,,Natural resources and environment
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1976,Exclusion of interest on general purpose State and local debt ,2845,1520,,International affairs
Energy & Environment,Natural resources and environment,Exclusion of interest on State and local government pollution control bonds,1976,,110,50,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest on State and local industrial development bonds,1976,,150,75,,Income security
Veterans Benefits,Income security,Exclusion of military disability pensions,1976,,,90,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1976,Exclusion of other employee benefits: Premiums on accident and accidental death insurance,,65,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1976,,,765,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1976,,,95,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1976,,,190,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1976,,,195,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1976,Exlcusion of social security benefits: Disability Insurnace Benefits,,330,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1976,Exlcusion of social security benefits: OASI benefits for aged,,2725,,Energy
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1976,Exlcusion of social security benefits: Benefits for dependents and survivors,,645,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1976,,,50,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of unemployment insurance benefits,1976,,,3335,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1976,Exclusion of veterans disability compensation ,,595,,Income security
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1976,,,30,,Business investment
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1976,Exclusion of workmen's compensation benefits.........,,590,,Business investment
Housing & Community,Commerce and Housing,Exemption of credit union income,1976,,145,,,Interest
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1976,,85,455,,Commerce and housing
Housing & Community,Commerce and Housing,Expensing of construction period interest and taxes,1976,,415,215,,International affairs
Medicare & Health,"Education, training, employment, and social services",Expensing of costs of removing certain architectural barriers to the handicapped,1976,Expensing of removal of architectural barriers to the handicapped,,,,Agriculture
Energy & Environment,Energy,Expensing of exploration and development costs,1976,,640,160,,Agriculture
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1976,Expensing of research and development expenditures,1325,25,,Commerce and transportation
Housing & Community,Community and regional development,Five-year amortization for housing rehabilitation,1976,Housing rehabilitation: 5-year amortization,15,25,,Revenue sharing and general purpose fiscal assistance
Energy & Environment,Natural resources and environment,Five-year amortization on pollution control facilities,1976,Pollution control: 5year amortization,10,,,Commerce and housing
Commerce,Transportation,Five-year amortization on railroad rolling stock,1976,Railroad rolling stock: 5-year amortization,-25,,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1976,,,10,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Investment credit,1976,,7685,1810,,Commerce and housing credit
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Investment credit for ESOPs,1976,Employee stock ownership plans (ESOP) funded through investment tax credits,25,,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Maximum tax on personal service income,1976,Maximum tax on earned income,,605,,Agriculture
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1976,,,7290,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Self-Employed plans,1976,Net exclusion of pension contributions and earnings: Plans for self-employed and others,,1060,,Commerce and housing
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1976,,,720,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Retirement income credit and credit for the elderly,1976,,,110,,Community and Regional Development
Commerce,International affairs,Special rate for Western Hemisphere trade corporations,1976,,50,,,Commerce and housing
Government,Commerce and Housing,Surtax exemption (through 1978),1976,Corporate surtax exemption,4170,,,
"Social Security, Unemployment & Labor",Income security,Additional exemption for elderly,1977,,,1140,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Additional exemption for the blind,1977,,,20,,
Commerce,Commerce and Housing,Asset depreciation range,1977,,1955,100,,Commerce and housing
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1977,"Capital gains (other than agriculture, timber, iron ore, and coal)",520,6910,,Income security
Commerce,Agriculture,Capital gains treatment of certain income,1977,Capital gains treatment of certain ordinary income,10,330,,Commerce and housing credit
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1977,,185,55,,Health
Energy & Environment,Natural resources and environment,Capital gains treatment of iron ore,1977,,5,5,,Income security
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1977,,10,45,,Commerce and housing credit
Housing & Community,Commerce and Housing,Carryover basis of capital gains at death,1977,Capital gains at death,,7280,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1977,,,475,,Commerce and housing credit
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for employment of AFDC recipients and public assistance recipients under work incentive programs,1977,,15,,,Income security
Housing & Community,Commerce and Housing,Credit for purchase of new home,1977,,,100,,Commerce and housing credit
Government,General government,Credits and deductions for political contributions,1977,,,85,,Community and regional development
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1977,,,320,,Natural resources and environment
Housing & Community,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1977,,235,525,,International affairs
Medicare & Health,Health,Deductibility of charitable contributions (health),1977,,145,790,,Income security
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",1977,,290,3935,,Income security
Commerce,Commerce and Housing,Deductibility of interest on consumer credit,1977,,,1785,,Income security
Medicare & Health,Health,Deductibility of medical expenses,1977,,,2230,,Commerce and housing
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1977,,,4490,,Community and regional development
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1977,,,7660,,"General science, space, and technology"
Government,Transportation,Deductibility of nonbusiness State gasoline taxes,1977,,,685,,"General science, space, and technology"
Commerce,Agriculture,Deductibility of noncash patronage dividends and certain other items of cooperatives,1977,,455,-165,,"General science, space, and technology"
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1977,,,4205,,Natural resources and environment
Housing & Community,Commerce and Housing,Deferral of capital gains on home sales,1977,,,890,,Natural resources and environment
Commerce,International affairs,Deferral of income from controlled foreign corporations,1977,,570,,,Agriculture
